lambda_s,cv,competing_mort,age,hazard_pop
0.01,0.0,False,0.5,5.888288997095935e-13
0.01,0.0,False,1.5,1.4095515821542816e-10
0.01,0.0,False,2.5,1.7857074242174954e-09
0.01,0.0,False,3.5,9.460978714809699e-09
0.01,0.0,False,4.5,3.27449246462508e-08
0.01,0.0,False,5.5,8.797929080596998e-08
0.01,0.0,False,6.5,1.9981099186456212e-07
0.01,0.0,False,7.5,4.0257285983534445e-07
0.01,0.0,False,8.5,7.415123495523601e-07
0.01,0.0,False,9.5,1.2738766326124035e-06
0.01,0.0,False,10.5,2.0698621664309094e-06
0.01,0.0,False,11.5,3.2134364923508434e-06
0.01,0.0,False,12.5,4.803039695581368e-06
0.01,0.0,False,13.5,6.952172649798463e-06
0.01,0.0,False,14.5,9.789878870188205e-06
0.01,0.0,False,15.5,1.3461126510235251e-05
0.01,0.0,False,16.5,1.812709675934111e-05
0.01,0.0,False,17.5,2.3965384630086636e-05
0.01,0.0,False,18.5,3.1170117865330744e-05
0.01,0.0,False,19.5,3.9951999446055495e-05
0.01,0.0,False,20.5,5.053827894063842e-05
0.01,0.0,False,21.5,6.317265770476108e-05
0.01,0.0,False,22.5,7.811513271816332e-05
0.01,0.0,False,23.5,9.56417836296481e-05
0.01,0.0,False,24.5,0.0001160445073748529
0.01,0.0,False,25.5,0.0001396307045320685
0.01,0.0,False,26.5,0.00016672292138953542
0.01,0.0,False,27.5,0.00019765845151291866
0.01,0.0,False,28.5,0.00023278890042383239
0.01,0.0,False,29.5,0.0002724797168290622
0.01,0.0,False,30.5,0.0003171096936753282
0.01,0.0,False,31.5,0.00036707044214578894
0.01,0.0,False,32.5,0.0004227658415617642
0.01,0.0,False,33.5,0.00048461146800619215
0.01,0.0,False,34.5,0.0005530340043438557
0.01,0.0,False,35.5,0.0006284706341772529
0.01,0.0,False,36.5,0.0007113684221459487
0.01,0.0,False,37.5,0.000802183682851113
0.01,0.0,False,38.5,0.0009013813405655884
0.01,0.0,False,39.5,0.0010094342817729965
